ID,ACTIVE (1/0),NAME,PARENT CATEGORY ID (138),PRICE (BEFORE TAX),TAX,MANUFACTURER,EAN13,ECOTAX,WEIGHT,QUANTITY,SHORT DESCRIPTION,DESCRIPTION,TAG WORDS (SEPERATE BY test test ),META-TITLE,META-KEYWORDS (sample sample),META-DESCRIPTION,TEXT – IN STOCK,OUT STOCK – ORDER ALLOWED,IMAGE URL (MULTIPLE SEPERATED BY COMMA (link link),Product avail
,1,Dupad Abdominal Pad,ABD Pads,0,, ,,,,,Dupad abdominal pads are filled with cellulose fibers making them super-absorbent. The fibers quickly absorb and disperse fluids laterally to prevent pooling and maceration. ,Dupad abdominal pads are filled with cellulose fibers making them super-absorbent. The fibers quickly absorb and disperse fluids laterally to prevent pooling and maceration. The backing is constructed of a hydrophobic material which prevents strike-through. All edges are sealed to prevent linting. Latex Free.,,Dupad Abdominal Pad,,,,,http://asset6.wellmedia.ca/i/9678cde06e0c54bf30132d40bdf70602_raw403h403_paw403h403.jpeg,
,1,Multipad Non-Adherent Wound Dressing,ABD Pads,0,,,,,,,A multi-layered and highly absorbent wound dressing. Gentle and non-woven rayon pad between two non-adhering polypropylene contact layers. Will not stick to wound site or damage fragile granulation tissue or traumatize wound upon removal.,A multi-layered and highly absorbent wound dressing. Gentle and non-woven rayon pad between two non-adhering polypropylene contact layers. Will not stick to wound site or damage fragile granulation tissue or traumatize wound upon removal. Non-linting - Absorbs significantly more drainage than similar dressings resulting in fewer dressing changes. Use in place of gauze and tape when more absorbency is needed.  This can be a primary or secondary dressing.,,Multipad Non-Adherent Wound Dressing,,,,,https://www.edgepark.com/_cache/9/9f506b1d12f2ad5b1de5d87097eafb44.jpg,
,1,Sofsorb Absorbent Wound Dressing,ABD Pads,0,,,,,,,A highly absorbent and multi-layered one-piece dressing. Five layer construction: May be soaked with saline or topical agents prior to use. ,A highly absorbent and multi-layered one-piece dressing. Five layer construction: May be soaked with saline or topical agents prior to use. Rounded edges and tapered limb configurations conform to curved and hard-to-dress areas without unnecessary bulk. Ideal for protecting wound sites from further trauma. Soft pliability allows for range of motion exercises during recovery.,,Sofsorb Absorbent Wound Dressing,,,,,http://images.allegrocentral.com/DC/F1/sofsorb-absorbent-wound-dressing-173196-MEDIUM_0.jpg,
,1,Sorbion Sachet S,ABD Pads,0,,,,,,,The unique Hydration Response Technology of Sorbion Sachet S combines physically modified cellulose fibers with gel-forming components. The interaction of both features guarantees effective preparation for the wound bed and regulation of the wound conditions.,The unique Hydration Response Technology of Sorbion Sachet S combines physically modified cellulose fibers with gel-forming components. The close interaction of both features in Sorbion Sachet S guarantees effective preparation for the wound bed and regulation of the wound conditions. This is what makes Sorbion Sachet S so effective at accelerating healing. Sorbion Sachet S is particularly suitable as a primary dressing for moderately to heavily exudating wounds and is especially useful in combination with the Carolon Multi-layer Stocking System and other compression modalities for management of exudate caused by venous insufficiency. The strong osmotic effect of Sorbion Sachet S guarantees rapid absorption of wound exudate with tremendous absorption capacity without drying out the wound. Microorganisms and cell debris are flushed from the depths of the wound and captured in Sorbion Sachet S.  Sorbion Sachet S is very effective for moderately to heavily exudating wounds.  Sorbion Sachet S is very effective for moderately to heavily exudating wounds. A secondary dressing is required to hold it in place. ,,Sorbion Sachet S,,,,,http://m.lekarnar.com/images/products/7012/big/sorbion_sachet_s.jpg,
,1,XTRASORB ABD Pad,ABD Pads,0,,,,,,,XTRASORB is a novel super-absorbent wound dressing. At its core is a super-absorbent polymer that allows the dressing to help re-define the category of highly absorbent.,"XTRASORB is a novel super-absorbent wound dressing. At its core is a super-absorbent polymer that allows the dressing to help re-define the category of highly absorbent.  Many other absorbent dressings rely on spaces within the dressings to fill with fluid but XTRASORB's super-absorbent polymer binds to fluid and converts to a gel. The distinct advantages this offers over traditional dressings are: 
XTRASORB dressings are able to hold more fluid and lock fluid inside the dressing which helps to decrease the risk of maceration.  The dressings come in a variety of sizes and can be used on an assortment of chronic and acute wounds including:
:: Pressure Ulcers Diabetic Foot Ulcers Fistulas 
:: Venous Leg Ulcers Post-Operative Wounds Oncologic Wounds 
:: Arterial Ulcers Laparotomy Wounds ",,XTRASORB ABD Pad,,,,,http://www.ojmedical.com/img/prods/med/DER89545.jpg,
,1,ALGICELL Ag,Alginate - Antimicrobial ,0,,,,,,,Algicell Ag is a high-gelling alginate with superior absorption capacity reducing the risk of maceration. Algicell Ag is removable in one piece and leaves no residue in the open wound.  ,"Algicell Ag is a high-gelling alginate with superior absorption capacity reducing the risk of maceration. Algicell Ag is removable in one piece and leaves no residue in the open wound.  Secondary dressings are required to hold in place.                                                     ALGICELL Ag:
 :: Algicell Ag provides superior bactericidal action that goes to work almost immediately
 :: Algicell Ag provides an effective barrier to bacterial penetration 
:: Algicell Ag protects wound dressings against bacterial colonization 

ALGICELL Ag bandages can be used more often to help reduce the risk of infection in moderately to heavily exuding wounds that include:
 :: Diabetic foot ulcers 
:: Leg ulcers :: Pressure ulcers/sores (partial and full thickness) 
:: Donor sites 
:: Traumatic and surgical wounds                       www.dermasciences.com
 ",,ALGICELL Ag,,,,,http://healthcaresupplypros.com/img/zoom/algicell-ag-antimicrobial-silver-dressing.jpg,
,1,Algidex Ag Packing Gauze,Alginate - Antimicrobial ,0,,,,,,,Reduces bacterial colonization. Absorbs wound exudate. Decreases wound odor. Specially woven gauze will not ravel or lint or fray. Provided in 5 yd. strips. Can be cut to desired length. ,Reduces bacterial colonization. Absorbs wound exudate. Decreases wound odor. Specially woven gauze will not ravel or lint or fray. Provided in 5 yd. strips. Can be cut to desired length. Releases active ionic silver for broad antimicrobial effectiveness. Convenient reclosable bottle.,,Algidex Ag Packing Gauze,,,,,http://static.dme-direct.com/media/catalog/product/cache/3/image/400x400/9df78eab33525d08d6e5fb8d27136e95/a/l/algidex-ag-packing-guaze-strip_1.jpg,
,1,AQUACEL Ag Hydrofiber,Alginate - Antimicrobial ,0,,,,,,,AQUACEL Ag Hydrofiber Wound Dressing with lonic Silver does more than just provide antimicrobial activity.  AQUACEL Ag Hydrofiber Wound Dressing with lonic Silver is indicated for moderate to high exuding wounds which are infected or at risk of infection.,AQUACEL Ag Hydrofiber Wound Dressing with lonic Silver does more than just provide antimicrobial activity.  AQUACEL Ag Hydrofiber Wound Dressing with lonic Silver is indicated for moderate to high exuding wounds which are infected or at risk of infection.,,AQUACEL Ag Hydrofiber,,,,,http://d33d8mgunhcj87.cloudfront.net/prodimg/188225/450.jpg,
,1,ReliaMed AG-CMC,Alginate - Antimicrobial ,0,,,,,,,Controlled silver ion release provides a broad spectrum of antimicrobial protection for up to three days. Effective in controlling wound bleeding. Absorbency and wet strength are key performance indicators. ,Secondary dressing required to hold in place. Controlled silver ion release provides a broad spectrum of antimicrobial protection for up to three days. Effective in controlling wound bleeding. Absorbency and wet strength are key performance indicators. Blend of calcium alginate and carboxymethyl cellulose (CMC) provides excellent gelling and wet strength for one-piece and non-traumatic removal.  Highly absorbent fluid wicks vertically into the dressing which minimizes the possibility of periwound skin maceration and reduces odor primarily caused by bacteria.  Can be used for postoperative wounds: trauma wounds - leg ulcers - pressure ulcers - diabetic ulcers - graft and donor sites.  Contraindicated for use on third-degree burns and dry or lightly exuding wounds.  Also with individuals with a known sensitivity to silver and/or calcium alginate.  www.reliamedproducts.com,,ReliaMed AG-CMC,,,,,http://www.colonialmed.com/images/Product/medium/5570.jpg,
,1,Silverlon CA,Alginate - Antimicrobial ,0,,,,,,,Advanced Antimicrobial Calcium Alginate Dressing is a sterile and non-woven pad composed of a High M (manuronic acid) alginate and a silver nylon contact layer. The silver ions provide an antimicrobial barrier.,Secondary dressing required to hold in place. Advanced Antimicrobial Calcium Alginate Dressing is a sterile and non-woven pad composed of a High M (manuronic acid) alginate and a silver nylon contact layer. The silver ions provide an antimicrobial barrier which protects the dressing from bacterial contamination including MRSA Bacteria. The dressing absorbs exudates and maintains a moist wound environment and allows for intact removal.  www.silverlon.com,,Silverlon CA,,,,,http://images.allegrocentral.com/5A/B4/silverlon-wound-pad-dressing-190171-MEDIUM_0.jpg,
